goos: darwin
goarch: arm64
pkg: github.com/DataDog/datadog-agent/pkg/logs/processor
cpu: Apple M4 Max
BenchmarkRegexPatterns/diners_credit_card/miss-16                                               	27780590	        43.73 ns/op	      40 B/op	       3 allocs/op
BenchmarkRegexPatterns/exclude_nql_service_logs_reloading_configmaps/match-16                   	  827380	      1490 ns/op	      32 B/op	       2 allocs/op
BenchmarkRegexPatterns/exclude_nql_service_logs_reloading_configmaps/miss-16                    	 1756429	       686.7 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegexPatterns/Content_has_no_min_mtp_version/match-16                                  	 1000000	      1171 ns/op	      32 B/op	       2 allocs/op
BenchmarkRegexPatterns/Content_has_no_min_mtp_version/miss-16                                   	 1673980	       717.2 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegexPatterns/last_name_tag/match-16                                                   	 3991959	       299.7 ns/op	     147 B/op	       5 allocs/op
BenchmarkRegexPatterns/last_name_tag/miss-16                                                    	 3900153	       307.3 ns/op	      56 B/op	       3 allocs/op
BenchmarkRegexPatterns/k8s_filter4/match-16                                                     	 1870521	       643.6 ns/op	      32 B/op	       2 allocs/op
BenchmarkRegexPatterns/k8s_filter4/miss-16                                                      	 1683787	       712.8 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegexPatterns/address_tags/match-16                                                    	 1562235	       772.0 ns/op	     235 B/op	       8 allocs/op
BenchmarkRegexPatterns/address_tags/miss-16                                                     	 1403043	       856.0 ns/op	      72 B/op	       3 allocs/op
BenchmarkRegexPatterns/facebook_secret_key/match-16                                             	 2095042	       573.3 ns/op	     113 B/op	       5 allocs/op
BenchmarkRegexPatterns/facebook_secret_key/miss-16                                              	 1000000	      1037 ns/op	      72 B/op	       3 allocs/op
BenchmarkRegexPatterns/exclude_ignored_delete_event/match-16                                    	  640336	      1889 ns/op	      32 B/op	       2 allocs/op
BenchmarkRegexPatterns/exclude_ignored_delete_event/miss-16                                     	  568864	      2144 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegexPatterns/v6_flooding_logs/match-16                                                	  941958	      1278 ns/op	      32 B/op	       2 allocs/op
BenchmarkRegexPatterns/v6_flooding_logs/miss-16                                                 	 1000000	      1012 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegexPatterns/feature_flag_init/match-16                                               	 2477040	       482.9 ns/op	      32 B/op	       2 allocs/op
BenchmarkRegexPatterns/feature_flag_init/miss-16                                                	68253724	        17.49 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegexPatterns/rendered_text_template/match-16                                          	 5931020	       202.1 ns/op	      32 B/op	       2 allocs/op
BenchmarkRegexPatterns/rendered_text_template/miss-16                                           	70237394	        17.29 ns/op	       8 B/op	       1 allocs/op
