benchmark,ns_per_op,bytes_per_op,allocs_per_op
TimeSamplerHook/batch32_publish/0sub,2628.0,0.0,0
TimeSamplerHook/batch32_publish/0sub,2638.0,0.0,0
TimeSamplerHook/batch32_publish/0sub,2626.0,0.0,0
TimeSamplerHook/batch32_publish/0sub,2619.0,0.0,0
TimeSamplerHook/batch32_publish/0sub,2619.0,0.0,0
TimeSamplerHook/batch32_publish/0sub,2655.0,0.0,0
TimeSamplerHook/batch32_publish/0sub,2733.0,0.0,0
TimeSamplerHook/batch32_publish/0sub,2712.0,0.0,0
TimeSamplerHook/batch32_publish/0sub,2670.0,0.0,0
TimeSamplerHook/batch32_publish/0sub,2657.0,0.0,0
TimeSamplerHook/batch32_publish/0sub,2643.0,0.0,0
TimeSamplerHook/batch32_publish/0sub,2637.0,0.0,0
TimeSamplerHook/batch32_publish/0sub,2751.0,0.0,0
TimeSamplerHook/batch32_publish/0sub,2619.0,0.0,0
TimeSamplerHook/batch32_publish/0sub,2631.0,0.0,0
TimeSamplerHook/batch32_publish/0sub,2631.0,0.0,0
TimeSamplerHook/batch32_publish/0sub,2619.0,0.0,0
TimeSamplerHook/sample_only/1sub,80.73,0.0,0
TimeSamplerHook/sample_only/1sub,80.76,0.0,0
TimeSamplerHook/sample_only/1sub,80.53,0.0,0
TimeSamplerHook/sample_only/1sub,80.98,0.0,0
TimeSamplerHook/sample_only/1sub,81.27,0.0,0
TimeSamplerHook/sample_only/1sub,82.72,0.0,0
TimeSamplerHook/sample_only/1sub,81.02,0.0,0
TimeSamplerHook/sample_only/1sub,80.42,0.0,0
TimeSamplerHook/sample_only/1sub,80.98,0.0,0
TimeSamplerHook/sample_only/1sub,80.62,0.0,0
TimeSamplerHook/sample_only/1sub,80.59,0.0,0
TimeSamplerHook/sample_only/1sub,82.69,0.0,0
TimeSamplerHook/sample_only/1sub,81.71,0.0,0
TimeSamplerHook/sample_only/1sub,81.05,0.0,0
TimeSamplerHook/sample_only/1sub,81.02,0.0,0
TimeSamplerHook/sample_only/1sub,80.75,0.0,0
TimeSamplerHook/sample_only/1sub,80.44,0.0,0
TimeSamplerHook/sample_only/1sub,80.06,0.0,0
TimeSamplerHook/sample_only/1sub,80.38,0.0,0
TimeSamplerHook/sample_only/1sub,80.18,0.0,0
TimeSamplerHook/sample_only/1sub,80.79,0.0,0
TimeSamplerHook/sample_only/1sub,80.39,0.0,0
TimeSamplerHook/sample_only/1sub,82.36,0.0,0
TimeSamplerHook/sample_only/1sub,80.16,0.0,0
TimeSamplerHook/sample_only/1sub,80.59,0.0,0
TimeSamplerHook/sample_only/1sub,80.08,0.0,0
TimeSamplerHook/sample_only/1sub,80.37,0.0,0
TimeSamplerHook/sample_only/1sub,80.94,0.0,0
TimeSamplerHook/sample_only/1sub,81.0,0.0,0
TimeSamplerHook/sample_only/1sub,80.58,0.0,0
TimeSamplerHook/sample_only/1sub,80.48,0.0,0
TimeSamplerHook/sample_only/1sub,80.42,0.0,0
TimeSamplerHook/sample_only/1sub,90.6,0.0,0
TimeSamplerHook/sample_only/1sub,80.75,0.0,0
TimeSamplerHook/sample_only/1sub,80.54,0.0,0
TimeSamplerHook/sample_only/1sub,80.5,0.0,0
TimeSamplerHook/sample_only/1sub,81.05,0.0,0
TimeSamplerHook/sample_only/1sub,83.17,0.0,0
TimeSamplerHook/sample_only/1sub,81.86,0.0,0
TimeSamplerHook/sample_only/1sub,80.9,0.0,0
TimeSamplerHook/sample_only/1sub,80.28,0.0,0
TimeSamplerHook/sample_only/1sub,80.47,0.0,0
TimeSamplerHook/sample_only/1sub,80.4,0.0,0
TimeSamplerHook/sample_only/1sub,80.52,0.0,0
TimeSamplerHook/sample_only/1sub,80.7,0.0,0
TimeSamplerHook/sample_only/1sub,80.37,0.0,0
TimeSamplerHook/sample_only/1sub,80.62,0.0,0
TimeSamplerHook/sample_only/1sub,80.0,0.0,0
TimeSamplerHook/sample_only/1sub,79.91,0.0,0
TimeSamplerHook/batch32_publish/1sub,2774.0,21.0,0
