Component,Origin,License
core,"github.com/dsnet/compress/bzip2/internal/sais",FreeBSD
core,"github.com/dsnet/compress/internal",FreeBSD
core,"github.com/dsnet/compress/internal/errors",FreeBSD
core,"github.com/dsnet/compress/internal/prefix",FreeBSD
core,"github.com/dustin/go-humanize",MIT
core,"github.com/emicklei/go-restful",MIT
core,"github.com/emicklei/go-restful-swagger12",MIT
core,"github.com/emicklei/go-restful/log",MIT
core,"github.com/fatih/color",MIT
core,"github.com/florianl/go-conntrack",MIT
core,"github.com/florianl/go-conntrack/internal/unix",MIT
core,"github.com/florianl/go-tc",MIT
core,"github.com/florianl/go-tc/core",MIT
core,"github.com/florianl/go-tc/internal/unix",MIT
core,"github.com/frapposelli/wwhrd",MIT
core,"github.com/freddierice/go-losetup",MIT
core,"github.com/go-ini/ini",Apache-2.0
core,"github.com/go-ole/go-ole",MIT
core,"github.com/go-openapi/jsonpointer",Apache-2.0
core,"github.com/go-openapi/jsonreference",Apache-2.0
core,"github.com/go-openapi/spec",Apache-2.0
core,"github.com/go-openapi/swag",Apache-2.0
core,"github.com/gobwas/glob",MIT
core,"github.com/gobwas/glob/compiler",MIT
core,"github.com/gobwas/glob/match",MIT
core,"github.com/gobwas/glob/syntax",MIT
core,"github.com/gobwas/glob/syntax/ast",MIT
core,"github.com/gobwas/glob/syntax/lexer",MIT
core,"github.com/gobwas/glob/util/runes",MIT
core,"github.com/gobwas/glob/util/strings",MIT
core,"github.com/godbus/dbus",FreeBSD
core,"github.com/gogo/googleapis/google/rpc",Apache-2.0
core,"github.com/gogo/protobuf/gogoproto",NewBSD
core,"github.com/gogo/protobuf/jsonpb",NewBSD
core,"github.com/gogo/protobuf/proto",NewBSD
core,"github.com/gogo/protobuf/protoc-gen-gogo/descriptor",NewBSD
core,"github.com/gogo/protobuf/sortkeys",NewBSD
core,"github.com/gogo/protobuf/types",NewBSD
core,"github.com/googleapis/gnostic/OpenAPIv2",Apache-2.0
core,"github.com/googleapis/gnostic/compiler",Apache-2.0
core,"github.com/googleapis/gnostic/extensions",Apache-2.0
core,"github.com/hectane/go-acl",MIT
core,"github.com/hectane/go-acl/api",MIT
core,"github.com/ianlancetaylor/cgosymbolizer",NewBSD
core,"github.com/inconshreveable/mousetrap",Apache-2.0
core,"github.com/iovisor/gobpf/bcc",Apache-2.0
core,"github.com/iovisor/gobpf/pkg/cpuonline",Apache-2.0
core,"github.com/jmespath/go-jmespath",Apache-2.0
core,"github.com/kubernetes-incubator/custom-metrics-apiserver/pkg/apiserver",Apache-2.0
core,"github.com/kubernetes-incubator/custom-metrics-apiserver/pkg/apiserver/endpoints/handlers",Apache-2.0
core,"github.com/kubernetes-incubator/custom-metrics-apiserver/pkg/apiserver/installer",Apache-2.0
core,"github.com/kubernetes-incubator/custom-metrics-apiserver/pkg/apiserver/registry/rest",Apache-2.0
core,"github.com/kubernetes-incubator/custom-metrics-apiserver/pkg/cmd",Apache-2.0
core,"github.com/kubernetes-incubator/custom-metrics-apiserver/pkg/cmd/server",Apache-2.0
core,"github.com/kubernetes-incubator/custom-metrics-apiserver/pkg/dynamicmapper",Apache-2.0
core,"github.com/kubernetes-incubator/custom-metrics-apiserver/pkg/provider",Apache-2.0
core,"github.com/kubernetes-incubator/custom-metrics-apiserver/pkg/registry/custom_metrics",Apache-2.0
core,"github.com/kubernetes-incubator/custom-metrics-apiserver/pkg/registry/external_metrics",Apache-2.0
core,"github.com/magiconair/properties",FreeBSD
core,"github.com/mailru/easyjson",MIT
core,"github.com/mailru/easyjson/buffer",MIT
core,"github.com/mailru/easyjson/jlexer",MIT
core,"github.com/mailru/easyjson/jwriter",MIT
core,"github.com/mattn/go-colorable",MIT
core,"github.com/mattn/go-isatty",MIT
core,"github.com/matttproud/golang_protobuf_extensions/pbutil",Apache-2.0
core,"github.com/mdlayher/netlink",MIT
core,"github.com/mdlayher/netlink/nlenc",MIT
core,"github.com/moby/sys/mountinfo",Apache-2.0
core,"github.com/modern-go/concurrent",Apache-2.0
core,"github.com/opencontainers/image-spec/identity",Apache-2.0
core,"github.com/opencontainers/image-spec/specs-go",Apache-2.0
core,"github.com/opencontainers/image-spec/specs-go/v1",Apache-2.0
core,"github.com/opencontainers/runc/libcontainer/configs",Apache-2.0
core,"github.com/opencontainers/runc/libcontainer/system",Apache-2.0
core,"github.com/opencontainers/runc/libcontainer/user",Apache-2.0
core,"github.com/opencontainers/runtime-spec/specs-go",Apache-2.0
core,"github.com/openshift/api/quota/v1",Apache-2.0
core,"github.com/patrickmn/go-cache",MIT
core,"github.com/pierrec/lz4/internal/xxh32",NewBSD
core,"github.com/pierrec/lz4/v4/internal/lz4block",NewBSD
core,"github.com/pierrec/lz4/v4/internal/lz4errors",NewBSD
core,"github.com/pierrec/lz4/v4/internal/lz4stream",NewBSD
core,"github.com/pierrec/lz4/v4/internal/xxh32",NewBSD
core,"github.com/pkg/errors",FreeBSD
core,"github.com/prometheus/client_golang/prometheus",Apache-2.0
core,"github.com/prometheus/client_golang/prometheus/internal",Apache-2.0
core,"github.com/prometheus/client_golang/prometheus/promhttp",Apache-2.0
core,"github.com/prometheus/client_model/go",Apache-2.0
core,"github.com/prometheus/common/expfmt",Apache-2.0
core,"github.com/prometheus/common/internal/bitbucket.org/ww/goautoneg",Apache-2.0
core,"github.com/prometheus/common/model",Apache-2.0
core,"github.com/prometheus/procfs",Apache-2.0
core,"github.com/prometheus/procfs/internal/fs",Apache-2.0
core,"github.com/prometheus/procfs/internal/util",Apache-2.0
core,"github.com/samuel/go-zookeeper/zk",NewBSD
core,"github.com/shirou/gopsutil/cpu",NewBSD
core,"github.com/shirou/gopsutil/disk",NewBSD
core,"github.com/shirou/gopsutil/host",NewBSD
core,"github.com/shirou/gopsutil/internal/common",NewBSD
core,"github.com/shirou/gopsutil/load",NewBSD
core,"github.com/shirou/gopsutil/mem",NewBSD
core,"github.com/shirou/gopsutil/net",NewBSD
core,"github.com/shirou/gopsutil/process",NewBSD
core,"github.com/shirou/w32",FreeBSD
core,"github.com/sirupsen/logrus",MIT
core,"github.com/soniah/gosnmp",NewBSD
core,"github.com/spf13/afero",Apache-2.0
core,"github.com/spf13/afero/mem",Apache-2.0
core,"github.com/spf13/cast",MIT
core,"github.com/spf13/cobra",Apache-2.0
core,"github.com/spf13/jwalterweatherman",MIT
core,"github.com/spf13/pflag",NewBSD
core,"github.com/spf13/viper",MIT
core,"github.com/syndtr/gocapability/capability",FreeBSD
core,"github.com/tinylib/msgp/msgp",MIT
core,"github.com/ulikunitz/xz/internal/hash",FreeBSD
core,"github.com/ulikunitz/xz/internal/xlog",FreeBSD
core,"github.com/ulikunitz/xz/lzma",FreeBSD
