goos: darwin
goarch: arm64
pkg: github.com/DataDog/datadog-agent/pkg/logs/processor
cpu: Apple M4 Max
BenchmarkProcessing_IncludeRules/Match-16                           	  953992	      1218 ns/op	    2808 B/op	      30 allocs/op
BenchmarkProcessing_IncludeRules/Match-16                           	 1000000	      1224 ns/op	    2808 B/op	      30 allocs/op
BenchmarkProcessing_IncludeRules/Match-16                           	 1000000	      1208 ns/op	    2808 B/op	      30 allocs/op
BenchmarkProcessing_IncludeRules/Match-16                           	  944698	      1220 ns/op	    2808 B/op	      30 allocs/op
BenchmarkProcessing_IncludeRules/Match-16                           	  943962	      1264 ns/op	    2808 B/op	      30 allocs/op
BenchmarkProcessing_IncludeRules/NoMatch-16                         	  634305	      1811 ns/op	    3768 B/op	      41 allocs/op
BenchmarkProcessing_IncludeRules/NoMatch-16                         	  681708	      1822 ns/op	    3768 B/op	      41 allocs/op
BenchmarkProcessing_IncludeRules/NoMatch-16                         	  639111	      1914 ns/op	    3768 B/op	      41 allocs/op
BenchmarkProcessing_IncludeRules/NoMatch-16                         	  637036	      1799 ns/op	    3768 B/op	      41 allocs/op
BenchmarkProcessing_IncludeRules/NoMatch-16                         	  648120	      1827 ns/op	    3768 B/op	      41 allocs/op
BenchmarkProcessing_LengthConstraints/IPv4_Match-16                 	  402646	      2993 ns/op	    5992 B/op	      58 allocs/op
BenchmarkProcessing_LengthConstraints/IPv4_Match-16                 	  404511	      3060 ns/op	    5992 B/op	      58 allocs/op
BenchmarkProcessing_LengthConstraints/IPv4_Match-16                 	  402214	      3004 ns/op	    5992 B/op	      58 allocs/op
BenchmarkProcessing_LengthConstraints/IPv4_Match-16                 	  390381	      3073 ns/op	    5992 B/op	      58 allocs/op
BenchmarkProcessing_LengthConstraints/IPv4_Match-16                 	  383396	      3097 ns/op	    5992 B/op	      58 allocs/op
BenchmarkProcessing_LengthConstraints/Email_Match-16                	  370293	      3246 ns/op	    6064 B/op	      64 allocs/op
BenchmarkProcessing_LengthConstraints/Email_Match-16                	  365818	      3260 ns/op	    6064 B/op	      64 allocs/op
BenchmarkProcessing_LengthConstraints/Email_Match-16                	  374461	      3269 ns/op	    6064 B/op	      64 allocs/op
BenchmarkProcessing_LengthConstraints/Email_Match-16                	  355306	      3249 ns/op	    6064 B/op	      64 allocs/op
BenchmarkProcessing_LengthConstraints/Email_Match-16                	  372846	      3256 ns/op	    6064 B/op	      64 allocs/op
BenchmarkProcessing_LengthConstraints/APIKey_Match-16               	  290338	      4106 ns/op	    8744 B/op	      58 allocs/op
BenchmarkProcessing_LengthConstraints/APIKey_Match-16               	  283707	      4215 ns/op	    8744 B/op	      58 allocs/op
BenchmarkProcessing_LengthConstraints/APIKey_Match-16               	  290937	      4162 ns/op	    8744 B/op	      58 allocs/op
BenchmarkProcessing_LengthConstraints/APIKey_Match-16               	  282667	      4225 ns/op	    8744 B/op	      58 allocs/op
BenchmarkProcessing_LengthConstraints/APIKey_Match-16               	  281001	      4199 ns/op	    8744 B/op	      58 allocs/op
BenchmarkProcessing_RealWorldRules/MaskAPIKeys_Match-16             	  451142	      2850 ns/op	    6064 B/op	      49 allocs/op
BenchmarkProcessing_RealWorldRules/MaskAPIKeys_Match-16             	  415555	      2910 ns/op	    6064 B/op	      49 allocs/op
BenchmarkProcessing_RealWorldRules/MaskAPIKeys_Match-16             	  393422	      2911 ns/op	    6064 B/op	      49 allocs/op
BenchmarkProcessing_RealWorldRules/MaskAPIKeys_Match-16             	  427039	      2928 ns/op	    6064 B/op	      49 allocs/op
BenchmarkProcessing_RealWorldRules/MaskAPIKeys_Match-16             	  407718	      2893 ns/op	    6064 B/op	      49 allocs/op
BenchmarkProcessing_RealWorldRules/MaskHostname_Match-16            	  485674	      2474 ns/op	    4720 B/op	      50 allocs/op
BenchmarkProcessing_RealWorldRules/MaskHostname_Match-16            	  468342	      2470 ns/op	    4720 B/op	      50 allocs/op
BenchmarkProcessing_RealWorldRules/MaskHostname_Match-16            	  469576	      2581 ns/op	    4720 B/op	      50 allocs/op
BenchmarkProcessing_RealWorldRules/MaskHostname_Match-16            	  480337	      2466 ns/op	    4720 B/op	      50 allocs/op
BenchmarkProcessing_RealWorldRules/MaskHostname_Match-16            	  464228	      2587 ns/op	    4720 B/op	      50 allocs/op
BenchmarkProcessing_RealWorldRules/ExcludeWarning_Match-16          	  593412	      1939 ns/op	    4008 B/op	      38 allocs/op
BenchmarkProcessing_RealWorldRules/ExcludeWarning_Match-16          	  594296	      2207 ns/op	    4008 B/op	      38 allocs/op
BenchmarkProcessing_RealWorldRules/ExcludeWarning_Match-16          	  603814	      1876 ns/op	    4008 B/op	      38 allocs/op
BenchmarkProcessing_RealWorldRules/ExcludeWarning_Match-16          	  601185	      1931 ns/op	    4008 B/op	      38 allocs/op
BenchmarkProcessing_RealWorldRules/ExcludeWarning_Match-16          	  603218	      1952 ns/op	    4008 B/op	      38 allocs/op
BenchmarkProcessing_RealWorldRules/K8sMLPing_Match-16               	  786500	      1462 ns/op	    3032 B/op	      32 allocs/op
BenchmarkProcessing_RealWorldRules/K8sMLPing_Match-16               	  782940	      1478 ns/op	    3032 B/op	      32 allocs/op
BenchmarkProcessing_RealWorldRules/K8sMLPing_Match-16               	  844276	      1469 ns/op	    3032 B/op	      32 allocs/op
BenchmarkProcessing_RealWorldRules/K8sMLPing_Match-16               	  879271	      1458 ns/op	    3032 B/op	      32 allocs/op
BenchmarkProcessing_RealWorldRules/K8sMLPing_Match-16               	  826761	      1472 ns/op	    3032 B/op	      32 allocs/op
BenchmarkProcessing_RealWorldRules/K8sMLPredict_Match-16            	  743770	      1577 ns/op	    3152 B/op	      34 allocs/op
BenchmarkProcessing_RealWorldRules/K8sMLPredict_Match-16            	  755421	      1584 ns/op	    3152 B/op	      34 allocs/op
